FOOD COMMODITY GROUP,Food commodity ITEM,Carbon Footprint kg CO2eq/kg or l of food ITEM
AGRICULTURAL PROCESSED,BEER IN CAN,0.69
AGRICULTURAL PROCESSED,BEER IN GLASS,0.96
AGRICULTURAL PROCESSED,BEER MODULAR CAN,0.53
AGRICULTURAL PROCESSED,CHOCOLATE OR CREAM FILLED COOKIES,1.53
AGRICULTURAL PROCESSED,SIMPLE COOKIES,1.39
AGRICULTURAL PROCESSED,MINERAL WATER,0.49
AGRICULTURAL PROCESSED,BREAD MULTICEREAL,0.70
AGRICULTURAL PROCESSED,BREAD PLAIN,0.89
AGRICULTURAL PROCESSED,BREAD WHOLE,0.77
AGRICULTURAL PROCESSED,BREAD FROZEN,1.31
AGRICULTURAL PROCESSED,CORNFLAKES,2.64
AGRICULTURAL PROCESSED,DARK CHOCOLATE,2.71
AGRICULTURAL PROCESSED,MILK CHOCOLATE,3.60
AGRICULTURAL PROCESSED,COFFEE GROUND,5.13
AGRICULTURAL PROCESSED,COFFEE PARCHMENT,8.29
AGRICULTURAL PROCESSED,COFFEE DRIP FILTERED ,0.60
AGRICULTURAL PROCESSED,COFFEE SOLUBLE POWDER ,0.33
AGRICULTURAL PROCESSED,ESPRESSO ,0.55
AGRICULTURAL PROCESSED,FLAVORED CRACKERS,0.93
AGRICULTURAL PROCESSED,PLAIN CRACKERS,1.35
AGRICULTURAL PROCESSED,WHOLEGRAIN CRACKERS,0.97
AGRICULTURAL PROCESSED,CRISPBREAD,1.35
AGRICULTURAL PROCESSED,KETCHUP,1.46
AGRICULTURAL PROCESSED,MAYONNAISE,2.04
AGRICULTURAL PROCESSED,TEMPE,1.10
AGRICULTURAL PROCESSED,EGG PASTA,3.15
AGRICULTURAL PROCESSED,RASPBERRIES,1.18
AGRICULTURAL PROCESSED,APPLE JUICE,2.84
AGRICULTURAL PROCESSED,BLUEBERRY JUICE ,3.00
AGRICULTURAL PROCESSED,CRANBERRY JUICE ,2.88
AGRICULTURAL PROCESSED,FIG JUICE ,3.20
AGRICULTURAL PROCESSED,KIWI JUICE,2.84
AGRICULTURAL PROCESSED,MANGO JUICE ,2.96
AGRICULTURAL PROCESSED,PINEAPPLE JUICE ,2.78
AGRICULTURAL PROCESSED,STRAWBERRY JUICE ,2.68
AGRICULTURAL PROCESSED,ORANGE JUICE,0.46
AGRICULTURAL PROCESSED,PEAR JUICE,0.49
AGRICULTURAL PROCESSED,BUCKWHEAT FLOUR,1.96
AGRICULTURAL PROCESSED,DURUM WHEAT,0.47
AGRICULTURAL PROCESSED,GRAHAM FLOUR,0.47
AGRICULTURAL PROCESSED,MAIZE FLOUR,1.31
AGRICULTURAL PROCESSED,MILLET FLOUR,1.37
AGRICULTURAL PROCESSED,OAT MEAL,0.87
AGRICULTURAL PROCESSED,SORGHUM FLOUR,1.33
AGRICULTURAL PROCESSED,WHEAT PLAIN FLOUR,0.52
AGRICULTURAL PROCESSED,WHOLE WHEAT FLOUR,0.36
AGRICULTURAL PROCESSED,CHOCOLATE,6.60
AGRICULTURAL PROCESSED,ICE CREAM,1.02
AGRICULTURAL PROCESSED,VANILLA,4.30
AGRICULTURAL PROCESSED,AZUKI BEAN FLOUR,1.32
AGRICULTURAL PROCESSED,MUNG BEAN FLOUR,1.49
AGRICULTURAL PROCESSED,SOY MEAL,0.62
AGRICULTURAL PROCESSED,BEANS IN CAN,0.11
AGRICULTURAL PROCESSED,GREEN BEANS IN CAN,1.45
AGRICULTURAL PROCESSED,BEANS,1.77
AGRICULTURAL PROCESSED,GREEN BEANS,2.74
AGRICULTURAL PROCESSED,MARGARINE,1.39
AGRICULTURAL PROCESSED,ALMOND COVERED WITH CHOCOLATE,4.80
AGRICULTURAL PROCESSED,HAZELNUT COVERED WITH CHOCOLATE,3.43
AGRICULTURAL PROCESSED,ALMOND PASTE,2.98
AGRICULTURAL PROCESSED,HAZELNUT CREAM,2.71
AGRICULTURAL PROCESSED,HAZELNUT PASTE,1.69
AGRICULTURAL PROCESSED,PEANUT BUTTER,1.15
AGRICULTURAL PROCESSED,PEANUT PASTE,1.84
AGRICULTURAL PROCESSED,OLIVE OIL,3.27
AGRICULTURAL PROCESSED,PALM OIL,2.43
AGRICULTURAL PROCESSED,PEANUT OIL,2.90
AGRICULTURAL PROCESSED,RAPESEED OIL,1.79
AGRICULTURAL PROCESSED,SOYBEAN OIL,1.79
AGRICULTURAL PROCESSED,SUNFLOWER OIL,0.98
AGRICULTURAL PROCESSED,PASTA,1.21
AGRICULTURAL PROCESSED,PESTO,2.71
AGRICULTURAL PROCESSED,PESTO WITHOUT GARLIC,2.72
AGRICULTURAL PROCESSED,BEET SUGAR,0.94
AGRICULTURAL PROCESSED,CANE SUGAR,0.62
AGRICULTURAL PROCESSED,CAKES AND CROISSANT,2.14
AGRICULTURAL PROCESSED,COCOA CAKES AND CROISSANT,1.94
AGRICULTURAL PROCESSED,TOMATO CHOPPED,1.47
